prime	level	multiplier	upper_index	summand_index	stratum	valuation	target	slack	violation_energy
2	1	1	2	0	transfer	2	2	0	0
2	1	1	2	1	vanish	4	2	2	0
2	1	1	2	2	transfer	6	2	4	0
2	1	2	4	0	transfer	6	2	4	0
2	1	2	4	1	vanish	6	2	4	0
2	1	2	4	2	transfer	5	2	3	0
2	1	2	4	3	vanish	7	2	5	0
2	1	2	4	4	transfer	9	2	7	0
2	1	3	6	0	transfer	3	2	1	0
2	1	3	6	1	vanish	5	2	3	0
2	1	3	6	2	transfer	8	2	6	0
2	1	3	6	3	vanish	10	2	8	0
2	1	3	6	4	transfer	5	2	3	0
2	1	3	6	5	vanish	7	2	5	0
2	1	3	6	6	transfer	9	2	7	0
2	2	1	4	0	transfer	6	4	2	0
2	2	1	4	1	vanish	6	4	2	0
2	2	1	4	2	transfer	5	4	1	0
2	2	1	4	3	vanish	7	4	3	0
2	2	1	4	4	transfer	9	4	5	0
2	2	2	8	0	transfer	9	4	5	0
2	2	2	8	1	vanish	8	4	4	0
2	2	2	8	2	transfer	7	4	3	0
2	2	2	8	3	vanish	9	4	5	0
2	2	2	8	4	transfer	9	4	5	0
2	2	2	8	5	vanish	9	4	5	0
2	2	2	8	6	transfer	8	4	4	0
2	2	2	8	7	vanish	10	4	6	0
2	2	2	8	8	transfer	12	4	8	0
2	2	3	12	0	transfer	7	4	3	0
2	2	3	12	1	vanish	7	4	3	0
2	2	3	12	2	transfer	6	4	2	0
2	2	3	12	3	vanish	8	4	4	0
2	2	3	12	4	transfer	11	4	7	0
2	2	3	12	5	vanish	12	4	8	0
2	2	3	12	6	transfer	11	4	7	0
2	2	3	12	7	vanish	13	4	9	0
2	2	3	12	8	transfer	9	4	5	0
2	2	3	12	9	vanish	9	4	5	0
2	2	3	12	10	transfer	8	4	4	0
2	2	3	12	11	vanish	10	4	6	0
2	2	3	12	12	transfer	12	4	8	0
3	1	1	3	0	transfer	2	2	0	0
3	1	1	3	1	vanish	2	2	0	0
3	1	1	3	2	vanish	4	2	2	0
3	1	1	3	3	transfer	3	2	1	0
3	1	2	6	0	transfer	3	2	1	0
3	1	2	6	1	vanish	3	2	1	0
3	1	2	6	2	vanish	4	2	2	0
3	1	2	6	3	transfer	4	2	2	0
3	1	2	6	4	vanish	4	2	2	0
3	1	2	6	5	vanish	5	2	3	0
3	1	2	6	6	transfer	4	2	2	0
3	1	3	9	0	transfer	5	2	3	0
3	1	3	9	1	vanish	4	2	2	0
3	1	3	9	2	vanish	5	2	3	0
3	1	3	9	3	transfer	4	2	2	0
3	1	3	9	4	vanish	4	2	2	0
3	1	3	9	5	vanish	7	2	5	0
3	1	3	9	6	transfer	6	2	4	0
3	1	3	9	7	vanish	6	2	4	0
3	1	3	9	8	vanish	7	2	5	0
3	1	3	9	9	transfer	6	2	4	0
3	2	1	9	0	transfer	5	4	1	0
3	2	1	9	1	vanish	4	4	0	0
3	2	1	9	2	vanish	5	4	1	0
3	2	1	9	3	transfer	4	4	0	0
3	2	1	9	4	vanish	4	4	0	0
3	2	1	9	5	vanish	7	4	3	0
3	2	1	9	6	transfer	6	4	2	0
3	2	1	9	7	vanish	6	4	2	0
3	2	1	9	8	vanish	7	4	3	0
3	2	1	9	9	transfer	6	4	2	0
3	2	2	18	0	transfer	6	4	2	0
3	2	2	18	1	vanish	5	4	1	0
3	2	2	18	2	vanish	6	4	2	0
3	2	2	18	3	transfer	5	4	1	0
3	2	2	18	4	vanish	5	4	1	0
3	2	2	18	5	vanish	7	4	3	0
3	2	2	18	6	transfer	6	4	2	0
3	2	2	18	7	vanish	6	4	2	0
3	2	2	18	8	vanish	7	4	3	0
3	2	2	18	9	transfer	7	4	3	0
3	2	2	18	10	vanish	6	4	2	0
3	2	2	18	11	vanish	7	4	3	0
3	2	2	18	12	transfer	6	4	2	0
3	2	2	18	13	vanish	6	4	2	0
3	2	2	18	14	vanish	8	4	4	0
3	2	2	18	15	transfer	7	4	3	0
3	2	2	18	16	vanish	7	4	3	0
3	2	2	18	17	vanish	8	4	4	0
3	2	2	18	18	transfer	7	4	3	0
